,simulation,model,n_sample,n_dim,rep,s@98
87,trunk,KNN,256.0,4096.0,87.0,0.008
88,trunk,KNN,256.0,4096.0,89.0,0.0076923076923076
89,trunk,KNN,256.0,4096.0,88.0,0.0
90,trunk,KNN,256.0,4096.0,90.0,0.016
91,trunk,KNN,256.0,4096.0,91.0,0.0307692307692307
92,trunk,KNN,256.0,4096.0,92.0,0.016
93,trunk,KNN,256.0,4096.0,94.0,0.016
94,trunk,KNN,256.0,4096.0,93.0,0.023076923076923
95,trunk,KNN,256.0,4096.0,96.0,0.0387692307692307
96,trunk,KNN,256.0,4096.0,97.0,0.0
97,trunk,KNN,256.0,4096.0,95.0,0.0233846153846153
98,trunk,KNN,256.0,4096.0,98.0,0.0313846153846153
99,trunk,KNN,256.0,4096.0,99.0,0.0384615384615384
100,trunk,KNN,512.0,4096.0,0.0,0.0233785822021116
101,trunk,KNN,512.0,4096.0,1.0,0.0156862745098039
102,trunk,KNN,512.0,4096.0,2.0,0.0196078431372549
103,trunk,KNN,512.0,4096.0,3.0,0.0
104,trunk,KNN,512.0,4096.0,5.0,0.0
105,trunk,KNN,512.0,4096.0,4.0,0.0
106,trunk,KNN,512.0,4096.0,8.0,0.0078431372549019
107,trunk,KNN,512.0,4096.0,9.0,0.0117647058823529
108,trunk,KNN,512.0,4096.0,7.0,0.0078431372549019
109,trunk,KNN,512.0,4096.0,6.0,0.0196078431372549
110,trunk,KNN,512.0,4096.0,10.0,0.0
111,trunk,KNN,512.0,4096.0,11.0,0.0116892911010558
112,trunk,KNN,512.0,4096.0,12.0,0.0
113,trunk,KNN,512.0,4096.0,13.0,0.0156862745098039
114,trunk,KNN,512.0,4096.0,14.0,0.0156862745098039
115,trunk,KNN,512.0,4096.0,15.0,0.0235294117647058
116,trunk,KNN,512.0,4096.0,16.0,0.0313725490196078
117,trunk,KNN,512.0,4096.0,18.0,0.0234539969834087
118,trunk,KNN,512.0,4096.0,17.0,0.0117647058823529
119,trunk,KNN,512.0,4096.0,19.0,0.0039215686274509
120,trunk,KNN,512.0,4096.0,22.0,0.0195324283559577
121,trunk,KNN,512.0,4096.0,20.0,0.0311463046757164
122,trunk,KNN,512.0,4096.0,21.0,0.0077677224736048
123,trunk,KNN,512.0,4096.0,24.0,0.0196078431372549
124,trunk,KNN,512.0,4096.0,25.0,0.0155354449472096
125,trunk,KNN,512.0,4096.0,23.0,0.0078431372549019
126,trunk,KNN,512.0,4096.0,27.0,0.0155354449472096
127,trunk,KNN,512.0,4096.0,26.0,0.0271493212669683
128,trunk,KNN,512.0,4096.0,29.0,0.0039215686274509
129,trunk,KNN,512.0,4096.0,28.0,0.0117647058823529
130,trunk,KNN,512.0,4096.0,32.0,0.0196078431372549
131,trunk,KNN,512.0,4096.0,30.0,0.0193815987933635
132,trunk,KNN,512.0,4096.0,31.0,0.0117647058823529
133,trunk,KNN,512.0,4096.0,34.0,0.0234539969834087
134,trunk,KNN,512.0,4096.0,33.0,0.0156862745098039
135,trunk,KNN,512.0,4096.0,35.0,0.0196078431372549
136,trunk,KNN,512.0,4096.0,36.0,0.0312971342383107
137,trunk,KNN,512.0,4096.0,37.0,0.0077677224736048
138,trunk,KNN,512.0,4096.0,40.0,0.0039215686274509
139,trunk,KNN,512.0,4096.0,38.0,0.0117647058823529
140,trunk,KNN,512.0,4096.0,39.0,0.0
141,trunk,KNN,512.0,4096.0,41.0,0.0310708898944193
142,trunk,KNN,512.0,4096.0,42.0,0.0233785822021116
143,trunk,KNN,512.0,4096.0,44.0,0.0117647058823529
144,trunk,KNN,512.0,4096.0,43.0,0.0116892911010558
145,trunk,KNN,512.0,4096.0,45.0,0.0116892911010558
146,trunk,KNN,512.0,4096.0,46.0,0.0078431372549019
147,trunk,KNN,512.0,4096.0,48.0,0.0431372549019607
148,trunk,KNN,512.0,4096.0,47.0,0.0156862745098039
149,trunk,KNN,512.0,4096.0,49.0,0.0039215686274509
150,trunk,KNN,512.0,4096.0,51.0,0.0039215686274509
151,trunk,KNN,512.0,4096.0,53.0,0.0039215686274509
152,trunk,KNN,512.0,4096.0,50.0,0.0196078431372549
153,trunk,KNN,512.0,4096.0,52.0,0.0274509803921568
154,trunk,KNN,512.0,4096.0,54.0,0.0156862745098039
155,trunk,KNN,512.0,4096.0,56.0,0.0234539969834087
156,trunk,KNN,512.0,4096.0,57.0,0.0273001508295625
157,trunk,KNN,512.0,4096.0,55.0,0.0078431372549019
158,trunk,KNN,512.0,4096.0,58.0,0.0038461538461538
159,trunk,KNN,512.0,4096.0,60.0,0.0039215686274509
160,trunk,KNN,512.0,4096.0,62.0,0.0195324283559577
161,trunk,KNN,512.0,4096.0,59.0,0.058446455505279
162,trunk,KNN,512.0,4096.0,63.0,0.0274509803921568
163,trunk,KNN,512.0,4096.0,61.0,0.0116892911010558
164,trunk,KNN,512.0,4096.0,64.0,0.0039215686274509
165,trunk,KNN,512.0,4096.0,65.0,0.0
166,trunk,KNN,512.0,4096.0,66.0,0.0156862745098039
167,trunk,KNN,512.0,4096.0,67.0,0.0117647058823529
168,trunk,KNN,512.0,4096.0,68.0,0.0116138763197586
169,trunk,KNN,512.0,4096.0,70.0,0.0235294117647058
170,trunk,KNN,512.0,4096.0,69.0,0.0156862745098039
171,trunk,KNN,512.0,4096.0,71.0,0.0077677224736048
172,trunk,KNN,512.0,4096.0,72.0,0.0117647058823529
173,trunk,KNN,512.0,4096.0,73.0,0.0
174,trunk,KNN,512.0,4096.0,74.0,0.0078431372549019
175,trunk,KNN,512.0,4096.0,75.0,0.0117647058823529
176,trunk,KNN,512.0,4096.0,76.0,0.0117647058823529
177,trunk,KNN,512.0,4096.0,78.0,0.0
178,trunk,KNN,512.0,4096.0,77.0,0.0392156862745098
179,trunk,KNN,512.0,4096.0,79.0,0.0116892911010558
180,trunk,KNN,512.0,4096.0,80.0,0.0
181,trunk,KNN,512.0,4096.0,81.0,0.0194570135746606
182,trunk,KNN,512.0,4096.0,83.0,0.0039215686274509
183,trunk,KNN,512.0,4096.0,82.0,0.0
184,trunk,KNN,512.0,4096.0,84.0,0.0039215686274509
185,trunk,KNN,512.0,4096.0,86.0,0.0156862745098039
186,trunk,KNN,512.0,4096.0,87.0,0.0
187,trunk,KNN,512.0,4096.0,85.0,0.0195324283559577
188,trunk,KNN,512.0,4096.0,88.0,0.0156108597285067
189,trunk,KNN,512.0,4096.0,89.0,0.0156108597285067
