sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.00390625,-0.00012750779341552665,0,512,2,6
0.015625,-0.00037048168774744816,0,512,10,6
-0.01171875,0.00045799891713427243,0,512,26,6
0.0,-0.00014710225478675731,0,512,58,6
-0.01171875,-1.6986753432091106e-05,0,512,122,6
0.00390625,0.0001621090943477732,0,512,250,6
0.01953125,8.683836441092385e-05,0,512,506,6
0.01171875,-6.0526314928921465e-05,0,512,1018,6
0.015625,-0.00010814038209328025,1,512,2,6
0.00390625,-0.0011837525392557335,1,512,10,6
0.0078125,-0.0007308624822934817,1,512,26,6
-0.01171875,-0.0006275899546602792,1,512,58,6
0.0234375,-0.0007478796667248488,1,512,122,6
-0.01171875,3.6522958644313874e-05,1,512,250,6
-0.00390625,-0.0003737528731374562,1,512,506,6
-0.0078125,6.518500059948806e-06,1,512,1018,6
-0.07421875,-0.0014218385990613092,2,512,2,6
-0.03125,0.0014874218522547,2,512,10,6
-0.0234375,0.0005222849350742242,2,512,26,6
0.01953125,0.0002994234719571054,2,512,58,6
-0.015625,0.00038302145791124786,2,512,122,6
0.015625,-0.00018162303158630877,2,512,250,6
0.00390625,0.00015336569776158715,2,512,506,6
0.0,-7.184249825176181e-05,2,512,1018,6
0.01953125,0.0013442271735759626,3,512,2,6
0.0,-3.518799206880807e-05,3,512,10,6
0.03125,-0.0008342586237068961,3,512,26,6
-0.03125,0.0006878161245212899,3,512,58,6
0.01953125,0.0001661857545867118,3,512,122,6
0.00390625,0.0003266673750411675,3,512,250,6
-0.00390625,-1.2594730822379496e-05,3,512,506,6
0.00390625,0.00013095849758704148,3,512,1018,6
0.05859375,-0.0006617196439039352,4,512,2,6
0.00390625,-0.00010471650729626525,4,512,10,6
-0.0390625,0.0003913675651734394,4,512,26,6
0.02734375,-0.0004858247468796373,4,512,58,6
-0.0234375,2.6574674270252174e-05,4,512,122,6
-0.015625,-0.00013616611711775306,4,512,250,6
0.0,0.00019350835172182723,4,512,506,6
-0.015625,-8.933377736664028e-06,4,512,1018,6
-0.015625,0.0006096884567974303,5,512,2,6
0.01953125,0.0003649434218682135,5,512,10,6
0.0390625,-0.00020461148462003198,5,512,26,6
-0.00390625,-2.492964124967134e-05,5,512,58,6
0.015625,4.374172132348697e-05,5,512,122,6
0.015625,0.00010771077002025287,5,512,250,6
-0.01953125,-6.9365482247008e-05,5,512,506,6
0.015625,4.668964157716893e-05,5,512,1018,6
-0.0078125,-0.001943575784979501,6,512,2,6
-0.015625,-0.00018156864861373911,6,512,10,6
-0.01953125,0.0002634958328108228,6,512,26,6
0.0078125,0.00014141475447404517,6,512,58,6
-0.0234375,-0.0003684841551998552,6,512,122,6
-0.01171875,-1.2811812271418255e-05,6,512,250,6
0.01953125,0.00015036051795269678,6,512,506,6
0.00390625,-1.0897149327337985e-06,6,512,1018,6
0.0,0.001158570612596388,7,512,2,6
