sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.0,0.0,45,1024,4093,6
0.0,0.0,46,128,4093,6
0.0,0.0,46,256,4093,6
0.0,0.0,46,512,4093,6
0.0,0.0,46,1024,4093,6
0.0,0.0,47,128,4093,6
0.0,0.0,47,256,4093,6
0.0,0.0,47,512,4093,6
0.0,0.0,47,1024,4093,6
0.0,0.0,48,128,4093,6
0.0,0.0,48,256,4093,6
0.0,0.0,48,512,4093,6
0.0,0.0,48,1024,4093,6
0.0,0.0,49,128,4093,6
0.0,0.0,49,256,4093,6
0.0,0.0,49,512,4093,6
0.0,0.0,49,1024,4093,6
0.0,0.0,50,128,4093,6
0.0,0.0,50,256,4093,6
0.0,0.0,50,512,4093,6
0.0,0.0,50,1024,4093,6
0.0,0.0,51,128,4093,6
0.0,0.0,51,256,4093,6
0.0,0.0,51,512,4093,6
0.0,0.0,51,1024,4093,6
0.0,0.0,52,128,4093,6
0.0,0.0,52,256,4093,6
0.0,0.0,52,512,4093,6
0.0,0.0,52,1024,4093,6
0.0,0.0,53,128,4093,6
0.0,0.0,53,256,4093,6
0.0,0.0,53,512,4093,6
0.0,0.0,53,1024,4093,6
0.0,0.0,54,128,4093,6
0.0,0.0,54,256,4093,6
0.0,0.0,54,512,4093,6
0.0,0.0,54,1024,4093,6
0.0,0.0,55,128,4093,6
0.0,0.0,55,256,4093,6
0.0,0.0,55,512,4093,6
0.0,0.0,55,1024,4093,6
0.0,0.0,56,128,4093,6
0.0,0.0,56,256,4093,6
0.0,0.0,56,512,4093,6
0.0,0.0,56,1024,4093,6
0.0,0.0,57,128,4093,6
0.0,0.0,57,256,4093,6
0.0,0.0,57,512,4093,6
0.0,0.0,57,1024,4093,6
0.0,0.0,58,128,4093,6
0.0,0.0,58,256,4093,6
0.0,0.0,58,512,4093,6
0.0,0.0,58,1024,4093,6
0.0,0.0,59,128,4093,6
0.0,0.0,59,256,4093,6
0.0,0.0,59,512,4093,6
0.0,0.0,59,1024,4093,6
0.0,0.0,60,128,4093,6
0.0,0.0,60,256,4093,6
0.0,0.0,60,512,4093,6
0.0,0.0,60,1024,4093,6
0.0,0.0,61,128,4093,6
0.0,0.0,61,256,4093,6
0.0,0.0,61,512,4093,6
0.0,0.0,61,1024,4093,6
0.0,0.0,62,128,4093,6
0.0,0.0,62,256,4093,6
0.0,0.0,62,512,4093,6
