n_samples,sim_type,model,metric,metric_value
256,multi_modalv3,svm,auc,0.47943115234375
256,multi_modalv3,svm,auc,0.53619384765625
256,multi_modalv3,svm,auc,0.57843017578125
256,multi_modalv3,svm,auc,0.519287109375
256,multi_modalv3,svm,auc,0.447021484375
256,multi_modalv3,svm,auc,0.5462646484375
256,multi_modalv3,svm,auc,0.5533447265625
256,multi_modalv3,svm,auc,0.45465087890625
256,multi_modalv3,svm,auc,0.5501708984375
256,multi_modalv3,svm,auc,0.55670166015625
256,multi_modalv3,svm,auc,0.53448486328125
256,multi_modalv3,svm,auc,0.46649169921875
256,multi_modalv3,svm,auc,0.5458984375
256,multi_modalv3,svm,auc,0.54339599609375
256,multi_modalv3,svm,auc,0.505859375
256,multi_modalv3,svm,auc,0.55682373046875
256,multi_modalv3,svm,auc,0.49554443359375
256,multi_modalv3,svm,auc,0.60003662109375
256,multi_modalv3,svm,auc,0.53662109375
256,multi_modalv3,svm,auc,0.42034912109375
256,multi_modalv3,svm,auc,0.4442138671875
256,multi_modalv3,svm,auc,0.46685791015625
256,multi_modalv3,svm,auc,0.499755859375
256,multi_modalv3,svm,auc,0.51177978515625
256,multi_modalv3,svm,auc,0.48883056640625
256,multi_modalv3,svm,auc,0.48944091796875
256,multi_modalv3,svm,auc,0.49932861328125
256,multi_modalv3,svm,auc,0.50714111328125
256,multi_modalv3,svm,auc,0.45513916015625
256,multi_modalv3,svm,auc,0.54840087890625
256,multi_modalv3,svm,auc,0.57806396484375
256,multi_modalv3,svm,auc,0.5562744140625
256,multi_modalv3,svm,auc,0.509765625
256,multi_modalv3,svm,auc,0.60296630859375
256,multi_modalv3,svm,auc,0.51202392578125
256,multi_modalv3,svm,auc,0.5274658203125
256,multi_modalv3,svm,auc,0.50372314453125
256,multi_modalv3,svm,auc,0.541748046875
256,multi_modalv3,svm,auc,0.60675048828125
256,multi_modalv3,svm,auc,0.5419921875
256,multi_modalv3,svm,auc,0.5543212890625
256,multi_modalv3,svm,auc,0.4759521484375
256,multi_modalv3,svm,auc,0.4991455078125
256,multi_modalv3,svm,auc,0.4901123046875
256,multi_modalv3,svm,auc,0.49853515625
256,multi_modalv3,svm,auc,0.49951171875
256,multi_modalv3,svm,auc,0.47283935546875
256,multi_modalv3,svm,auc,0.526611328125
256,multi_modalv3,svm,auc,0.51318359375
256,multi_modalv3,svm,auc,0.50537109375
256,multi_modalv3,svm,auc,0.532470703125
256,multi_modalv3,svm,auc,0.550048828125
256,multi_modalv3,svm,auc,0.5706787109375
256,multi_modalv3,svm,auc,0.5499267578125
256,multi_modalv3,svm,auc,0.5257568359375
256,multi_modalv3,svm,auc,0.48956298828125
256,multi_modalv3,svm,auc,0.51202392578125
256,multi_modalv3,svm,auc,0.45379638671875
256,multi_modalv3,svm,auc,0.43701171875
256,multi_modalv3,svm,auc,0.494140625
256,multi_modalv3,svm,auc,0.523681640625
256,multi_modalv3,svm,auc,0.55352783203125
256,multi_modalv3,svm,auc,0.51092529296875
512,multi_modalv3,svm,auc,0.5403289794921875
512,multi_modalv3,svm,auc,0.55133056640625
512,multi_modalv3,svm,auc,0.540679931640625
512,multi_modalv3,svm,auc,0.522186279296875
512,multi_modalv3,svm,auc,0.5620574951171875
512,multi_modalv3,svm,auc,0.4979248046875
512,multi_modalv3,svm,auc,0.60906982421875
512,multi_modalv3,svm,auc,0.4586944580078125
512,multi_modalv3,svm,auc,0.5845489501953125
512,multi_modalv3,svm,auc,0.549591064453125
512,multi_modalv3,svm,auc,0.4790191650390625
512,multi_modalv3,svm,auc,0.5541839599609375
512,multi_modalv3,svm,auc,0.5975189208984375
512,multi_modalv3,svm,auc,0.5124969482421875
512,multi_modalv3,svm,auc,0.565887451171875
512,multi_modalv3,svm,auc,0.54461669921875
512,multi_modalv3,svm,auc,0.5023193359375
512,multi_modalv3,svm,auc,0.5341796875
512,multi_modalv3,svm,auc,0.547149658203125
512,multi_modalv3,svm,auc,0.553863525390625
512,multi_modalv3,svm,auc,0.4836578369140625
512,multi_modalv3,svm,auc,0.5604095458984375
512,multi_modalv3,svm,auc,0.4921875
512,multi_modalv3,svm,auc,0.5418701171875
512,multi_modalv3,svm,auc,0.4955596923828125
512,multi_modalv3,svm,auc,0.5290374755859375
512,multi_modalv3,svm,auc,0.5540313720703125
512,multi_modalv3,svm,auc,0.5009002685546875
512,multi_modalv3,svm,auc,0.607666015625
512,multi_modalv3,svm,auc,0.5001373291015625
512,multi_modalv3,svm,auc,0.544219970703125
512,multi_modalv3,svm,auc,0.540679931640625
512,multi_modalv3,svm,auc,0.577880859375
512,multi_modalv3,svm,auc,0.5191650390625
512,multi_modalv3,svm,auc,0.4826202392578125
512,multi_modalv3,svm,auc,0.5576324462890625
512,multi_modalv3,svm,auc,0.49365234375
512,multi_modalv3,svm,auc,0.4630279541015625
512,multi_modalv3,svm,auc,0.4910430908203125
512,multi_modalv3,svm,auc,0.5296783447265625
512,multi_modalv3,svm,auc,0.53997802734375
512,multi_modalv3,svm,auc,0.54876708984375
512,multi_modalv3,svm,auc,0.4653167724609375
512,multi_modalv3,svm,auc,0.5456085205078125
512,multi_modalv3,svm,auc,0.5063323974609375
512,multi_modalv3,svm,auc,0.530364990234375
512,multi_modalv3,svm,auc,0.5160369873046875
512,multi_modalv3,svm,auc,0.5843353271484375
512,multi_modalv3,svm,auc,0.520904541015625
512,multi_modalv3,svm,auc,0.5257720947265625
512,multi_modalv3,svm,auc,0.5493316650390625
512,multi_modalv3,svm,auc,0.4946441650390625
512,multi_modalv3,svm,auc,0.595855712890625
512,multi_modalv3,svm,auc,0.4937744140625
512,multi_modalv3,svm,auc,0.53558349609375
512,multi_modalv3,svm,auc,0.500732421875
512,multi_modalv3,svm,auc,0.5261383056640625
512,multi_modalv3,svm,auc,0.5066070556640625
512,multi_modalv3,svm,auc,0.512725830078125
512,multi_modalv3,svm,auc,0.5247344970703125
512,multi_modalv3,svm,auc,0.51849365234375
512,multi_modalv3,svm,auc,0.557861328125
512,multi_modalv3,svm,auc,0.553924560546875
512,multi_modalv3,svm,auc,0.4949951171875
512,multi_modalv3,svm,auc,0.553375244140625
512,multi_modalv3,svm,auc,0.48291015625
512,multi_modalv3,svm,auc,0.554718017578125
512,multi_modalv3,svm,auc,0.574676513671875
512,multi_modalv3,svm,auc,0.5545501708984375
512,multi_modalv3,svm,auc,0.5149078369140625
512,multi_modalv3,svm,auc,0.5863189697265625
512,multi_modalv3,svm,auc,0.4715728759765625
512,multi_modalv3,svm,auc,0.6031494140625
512,multi_modalv3,svm,auc,0.5066070556640625
512,multi_modalv3,svm,auc,0.5169219970703125
512,multi_modalv3,svm,auc,0.6150970458984375
512,multi_modalv3,svm,auc,0.58367919921875
512,multi_modalv3,svm,auc,0.5544586181640625
512,multi_modalv3,svm,auc,0.5864105224609375
512,multi_modalv3,svm,auc,0.5469818115234375
512,multi_modalv3,svm,auc,0.5655364990234375
512,multi_modalv3,svm,auc,0.5188140869140625
512,multi_modalv3,svm,auc,0.5816192626953125
512,multi_modalv3,svm,auc,0.5230255126953125
512,multi_modalv3,svm,auc,0.5838165283203125
512,multi_modalv3,svm,auc,0.565277099609375
512,multi_modalv3,svm,auc,0.5483856201171875
512,multi_modalv3,svm,auc,0.5226287841796875
512,multi_modalv3,svm,auc,0.48699951171875
512,multi_modalv3,svm,auc,0.54888916015625
512,multi_modalv3,svm,auc,0.513916015625
512,multi_modalv3,svm,auc,0.48370361328125
512,multi_modalv3,svm,auc,0.5216217041015625
512,multi_modalv3,svm,auc,0.516876220703125
512,multi_modalv3,svm,auc,0.599609375
512,multi_modalv3,svm,auc,0.5446319580078125
512,multi_modalv3,svm,auc,0.5831756591796875
512,multi_modalv3,svm,auc,0.5490264892578125
512,multi_modalv3,svm,auc,0.5363006591796875
512,multi_modalv3,svm,auc,0.5311126708984375
1024,multi_modalv3,svm,auc,0.5751609802246094
1024,multi_modalv3,svm,auc,0.5499153137207031
1024,multi_modalv3,svm,auc,0.5692710876464844
1024,multi_modalv3,svm,auc,0.5249214172363281
1024,multi_modalv3,svm,auc,0.6080818176269531
1024,multi_modalv3,svm,auc,0.5232048034667969
1024,multi_modalv3,svm,auc,0.5649604797363281
1024,multi_modalv3,svm,auc,0.5328941345214844
1024,multi_modalv3,svm,auc,0.5765724182128906
1024,multi_modalv3,svm,auc,0.5689163208007812
1024,multi_modalv3,svm,auc,0.5197715759277344
1024,multi_modalv3,svm,auc,0.573577880859375
1024,multi_modalv3,svm,auc,0.5823860168457031
1024,multi_modalv3,svm,auc,0.531951904296875
1024,multi_modalv3,svm,auc,0.5770492553710938
1024,multi_modalv3,svm,auc,0.5544013977050781
1024,multi_modalv3,svm,auc,0.5698623657226562
1024,multi_modalv3,svm,auc,0.5525741577148438
1024,multi_modalv3,svm,auc,0.5679283142089844
1024,multi_modalv3,svm,auc,0.5880355834960938
1024,multi_modalv3,svm,auc,0.5712890625
1024,multi_modalv3,svm,auc,0.5885734558105469
1024,multi_modalv3,svm,auc,0.5783767700195312
1024,multi_modalv3,svm,auc,0.5427017211914062
1024,multi_modalv3,svm,auc,0.5064163208007812
1024,multi_modalv3,svm,auc,0.5273170471191406
