sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.109375,0.03417185452841354,0,512,2,6
0.18359375,0.02746296988090624,0,512,10,6
0.171875,0.02323702767552993,0,512,26,6
0.1015625,0.018912991612817676,0,512,58,6
0.04296875,0.015440323262421618,0,512,122,6
0.04296875,0.013457868093374903,0,512,250,6
0.06640625,0.01177317954037671,0,512,506,6
0.03125,0.01039887803791717,0,512,1018,6
0.1328125,0.05622687129335102,1,512,2,6
0.25390625,0.04565082328591219,1,512,10,6
0.1796875,0.04106331405981356,1,512,26,6
0.1875,0.03698853806597491,1,512,58,6
0.1328125,0.02919992317130482,1,512,122,6
0.12890625,0.026701235246668342,1,512,250,6
0.1015625,0.023295367594569294,1,512,506,6
0.12890625,0.02095773584249805,1,512,1018,6
0.2578125,0.045128124606961695,2,512,2,6
0.1875,0.03370082533165042,2,512,10,6
0.2734375,0.028800310334676116,2,512,26,6
0.2421875,0.02399058302099255,2,512,58,6
0.06640625,0.020168868334557,2,512,122,6
0.1640625,0.018004224739490815,2,512,250,6
0.08984375,0.0159601252302638,2,512,506,6
0.05859375,0.013608815535034458,2,512,1018,6
0.1953125,0.035050904038253616,3,512,2,6
0.17578125,0.023771275253777646,3,512,10,6
0.19921875,0.019859397101398835,3,512,26,6
0.11328125,0.016394874869887,3,512,58,6
0.0546875,0.01407829999770338,3,512,122,6
0.0390625,0.011392507135761232,3,512,250,6
0.078125,0.009340455985404006,3,512,506,6
0.04296875,0.008061742903795466,3,512,1018,6
0.2109375,0.03566323260345361,4,512,2,6
0.17578125,0.025471338845093783,4,512,10,6
0.1640625,0.02299304440813066,4,512,26,6
0.18359375,0.018752236890498875,4,512,58,6
0.1015625,0.015827947385752994,4,512,122,6
0.04296875,0.01243426103661427,4,512,250,6
0.0078125,0.01016708337225758,4,512,506,6
0.0390625,0.009341912175292233,4,512,1018,6
0.203125,0.04991591509592519,5,512,2,6
0.16015625,0.04039399099173613,5,512,10,6
0.22265625,0.03668576139681978,5,512,26,6
0.21875,0.03359604102980651,5,512,58,6
0.20703125,0.029375714606229564,5,512,122,6
0.19921875,0.02531238646719547,5,512,250,6
0.09375,0.022127837833892938,5,512,506,6
0.109375,0.019718590049297546,5,512,1018,6
0.19921875,0.04141928388067817,6,512,2,6
0.20703125,0.0322773982190957,6,512,10,6
0.21484375,0.027409004504656775,6,512,26,6
0.09765625,0.025276642648854653,6,512,58,6
0.08984375,0.021569067780021434,6,512,122,6
0.046875,0.018351472174131245,6,512,250,6
-0.01953125,0.016029966460747835,6,512,506,6
0.05859375,0.014621240644376532,6,512,1018,6
0.25390625,0.07969251596309457,7,512,2,6
0.17578125,0.06640079345792316,7,512,10,6
0.25,0.061668426982806945,7,512,26,6
0.1640625,0.0576971717528969,7,512,58,6
0.2265625,0.051433010845445826,7,512,122,6
0.11328125,0.04516658264295825,7,512,250,6
0.09765625,0.04061326977688284,7,512,506,6
0.05859375,0.03830150991381043,7,512,1018,6
0.03515625,0.05402664871179841,8,512,2,6
0.1484375,0.04279797801523011,8,512,10,6
0.0859375,0.03707757443913129,8,512,26,6
0.02734375,0.033156424270803564,8,512,58,6
0.05859375,0.028012143950563173,8,512,122,6
0.203125,0.02382331339686128,8,512,250,6
0.1015625,0.021596769157914864,8,512,506,6
0.046875,0.01967005699451163,8,512,1018,6
0.14453125,0.051545216404350946,9,512,2,6
0.10546875,0.03939624218895221,9,512,10,6
0.140625,0.03329822319938158,9,512,26,6
0.1171875,0.029266128438520833,9,512,58,6
0.1796875,0.024243857406058833,9,512,122,6
0.12890625,0.02185020625491474,9,512,250,6
0.04296875,0.01886596492487813,9,512,506,6
0.05859375,0.016633894730276322,9,512,1018,6
0.234375,0.06604075138546361,10,512,2,6
0.2265625,0.05214314628548866,10,512,10,6
0.1796875,0.050736735131856836,10,512,26,6
0.2109375,0.04505163834364134,10,512,58,6
0.19140625,0.039481852242324034,10,512,122,6
0.1484375,0.035659310207211026,10,512,250,6
0.109375,0.033215059650892,10,512,506,6
0.1796875,0.02927890469671912,10,512,1018,6
0.0859375,0.03308792423052953,11,512,2,6
0.12890625,0.02776863787351247,11,512,10,6
0.08984375,0.02352388761122659,11,512,26,6
0.0625,0.020949429445871748,11,512,58,6
0.10546875,0.016900883703666936,11,512,122,6
0.1015625,0.015074091875376339,11,512,250,6
0.07421875,0.01267250164060596,11,512,506,6
0.09375,0.011210521944509,11,512,1018,6
0.12109375,0.03707425675588738,12,512,2,6
0.10546875,0.02785912425462389,12,512,10,6
0.109375,0.0241639997368287,12,512,26,6
0.0703125,0.020310810579475702,12,512,58,6
0.09765625,0.017158035195048105,12,512,122,6
0.03515625,0.014557379631105705,12,512,250,6
0.09375,0.012639366970277677,12,512,506,6
0.08984375,0.0107376194814226,12,512,1018,6
0.171875,0.043645028084716264,13,512,2,6
0.1953125,0.033908105458323456,13,512,10,6
