n_dims_1,sim_type,model,metric,metric_value
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.003996003996003996
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.015984015984015984
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.27372627372627373
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.5064935064935064
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.7342657342657343
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.029970029970029972
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.015984015984015984
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.20679320679320679
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.006993006993006993
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.001998001998001998
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.002997002997002997
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.4885114885114885
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.35864135864135865
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.006993006993006993
2,mean_shiftv4,cdcorr,cdcorr_pvalue,0.1838161838161838
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.15884115884115885
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.0979020979020979
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.33766233766233766
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.09290709290709291
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.07992007992007992
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.14985014985014986
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.08791208791208792
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.2057942057942058
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.1048951048951049
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.32367632367632365
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.16283716283716285
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.33266733266733267
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.27172827172827174
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.2547452547452547
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.09490509490509491
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.18281718281718282
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.46553446553446554
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.13386613386613386
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.15184815184815184
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.11388611388611389
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.33166833166833165
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.16183816183816183
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.15784215784215785
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.06893106893106893
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.2517482517482518
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.23676323676323677
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.15784215784215785
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.11288711288711288
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.2917082917082917
10,mean_shiftv4,cdcorr,cdcorr_pvalue,0.04795204795204795
