sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
-0.015625,0.0,0,256,506,6
-0.0234375,0.0,0,512,506,6
0.005859375,0.0,0,1024,506,6
-0.015625,0.0,1,256,506,6
0.0078125,0.0,1,512,506,6
-0.005859375,0.0,1,1024,506,6
0.0,0.0,2,256,506,6
-0.00390625,0.0,2,512,506,6
-0.02734375,0.0,2,1024,506,6
-0.0078125,0.0,3,256,506,6
-0.0078125,0.0,3,512,506,6
-0.005859375,0.0,3,1024,506,6
-0.0078125,0.0,4,256,506,6
-0.0078125,0.0,4,512,506,6
-0.005859375,0.0,4,1024,506,6
0.0078125,0.0,5,256,506,6
-0.01171875,0.0,5,512,506,6
0.0078125,0.0,5,1024,506,6
0.015625,0.0,6,256,506,6
-0.01953125,0.0,6,512,506,6
-0.013671875,0.0,6,1024,506,6
0.0,0.0,7,256,506,6
-0.0078125,0.0,7,512,506,6
0.013671875,0.0,7,1024,506,6
-0.0078125,0.0,8,256,506,6
-0.00390625,0.0,8,512,506,6
-0.021484375,0.0,8,1024,506,6
0.0078125,0.0,9,256,506,6
-0.015625,0.0,9,512,506,6
0.00390625,0.0,9,1024,506,6
0.0,0.0,10,256,506,6
0.01171875,0.0,10,512,506,6
0.005859375,0.0,10,1024,506,6
0.0078125,0.0,11,256,506,6
-0.00390625,0.0,11,512,506,6
-0.0078125,0.0,11,1024,506,6
0.0,0.0,12,256,506,6
0.0,0.0,12,512,506,6
0.009765625,0.0,12,1024,506,6
0.0,0.0,13,256,506,6
-0.00390625,0.0,13,512,506,6
-0.01171875,0.0,13,1024,506,6
0.015625,0.0,14,256,506,6
0.00390625,0.0,14,512,506,6
-0.00390625,0.0,14,1024,506,6
0.0078125,0.0,15,256,506,6
-0.00390625,0.0,15,512,506,6
0.00390625,0.0,15,1024,506,6
-0.0078125,0.0,16,256,506,6
0.00390625,0.0,16,512,506,6
-0.009765625,0.0,16,1024,506,6
0.0234375,0.0,17,256,506,6
0.0078125,0.0,17,512,506,6
0.009765625,0.0,17,1024,506,6
-0.0078125,0.0,18,256,506,6
-0.0078125,0.0,18,512,506,6
-0.001953125,0.0,18,1024,506,6
0.0,0.0,19,256,506,6
-0.015625,0.0,19,512,506,6
-0.00390625,0.0,19,1024,506,6
0.0078125,0.0,20,256,506,6
0.0,0.0,20,512,506,6
-0.021484375,0.0,20,1024,506,6
0.0078125,0.0,21,256,506,6
0.00390625,0.0,21,512,506,6
-0.009765625,0.0,21,1024,506,6
0.0,0.0,22,256,506,6
0.0234375,0.0,22,512,506,6
-0.00390625,0.0,22,1024,506,6
0.0,0.0,23,256,506,6
0.0078125,0.0,23,512,506,6
0.005859375,0.0,23,1024,506,6
-0.0078125,0.0,24,256,506,6
0.0078125,0.0,24,512,506,6
0.001953125,0.0,24,1024,506,6
-0.0078125,0.0,25,256,506,6
0.0,0.0,25,512,506,6
-0.005859375,0.0,25,1024,506,6
0.0,0.0,26,256,506,6
0.0078125,0.0,26,512,506,6
-0.009765625,0.0,26,1024,506,6
0.0,0.0,27,256,506,6
