sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
-0.05859375,-0.0005646786439273965,6,512,2,6
0.00390625,0.0004954596732708039,6,512,10,6
-0.015625,7.861609414072657e-05,6,512,26,6
0.0078125,-8.709588763422538e-06,6,512,58,6
-0.00390625,-5.660278795704965e-05,6,512,122,6
-0.015625,0.00015098580324379718,6,512,250,6
0.015625,-6.855016053441965e-05,6,512,506,6
0.01171875,2.197269079329267e-05,6,512,1018,6
0.05859375,0.0015765988506812878,7,512,2,6
0.0078125,0.0004099569939260972,7,512,10,6
-0.03125,-0.000957163723876997,7,512,26,6
-0.015625,-0.00014647779355780877,7,512,58,6
0.015625,-1.102294062682585e-05,7,512,122,6
-0.00390625,-0.00029421784888250535,7,512,250,6
-0.015625,9.504133602256104e-05,7,512,506,6
0.01171875,-0.0001501237018721735,7,512,1018,6
-0.0078125,-0.0012479745791957875,8,512,2,6
-0.00390625,0.0002144156105425843,8,512,10,6
0.07421875,0.0008559300465440511,8,512,26,6
-0.015625,8.009278564835576e-05,8,512,58,6
-0.015625,-0.00018869478638894321,8,512,122,6
-0.0078125,2.8734715949108036e-05,8,512,250,6
-0.0078125,-2.0590879797666162e-05,8,512,506,6
-0.00390625,-9.297602235824876e-05,8,512,1018,6
0.0078125,0.0006281581260417779,9,512,2,6
0.00390625,0.00014019690858557698,9,512,10,6
-0.015625,-0.00024009236418354174,9,512,26,6
0.03515625,-3.469454996374299e-05,9,512,58,6
-0.00390625,0.00034585507232098855,9,512,122,6
0.0234375,0.00026481796246236033,9,512,250,6
0.015625,-6.459694317262343e-05,9,512,506,6
0.0,0.00021558526023024438,9,512,1018,6
-0.01171875,0.0002669514180043686,10,512,2,6
-0.0078125,-7.393613128325871e-05,10,512,10,6
0.00390625,0.00034352876515031383,10,512,26,6
-0.0078125,-4.024318177897612e-05,10,512,58,6
0.01171875,7.81494896711088e-05,10,512,122,6
-0.015625,7.874179681510718e-06,10,512,250,6
-0.015625,-5.0226623816818083e-05,10,512,506,6
0.0,-0.0003364627831056177,10,512,1018,6
0.00390625,-0.004022785741813917,11,512,2,6
-0.0078125,-0.0019286139894516552,11,512,10,6
0.015625,-0.0010972660725873107,11,512,26,6
-0.0078125,-0.0001534513665569781,11,512,58,6
0.0,-0.00025129340179042003,11,512,122,6
0.015625,4.63712247689152e-05,11,512,250,6
0.0078125,8.121965558094413e-05,11,512,506,6
-0.01171875,0.0002153516732477101,11,512,1018,6
-0.01171875,0.003439927074821547,12,512,2,6
0.00390625,0.0016034512679775625,12,512,10,6
0.0,0.0007664206501678539,12,512,26,6
-0.0078125,0.0003546353296209892,12,512,58,6
-0.00390625,0.0002005014430686014,12,512,122,6
0.00390625,-2.4050819867671436e-05,12,512,250,6
0.01171875,-0.00015461739792532736,12,512,506,6
0.0078125,0.00014619976250962452,12,512,1018,6
0.015625,7.505864953327723e-05,13,512,2,6
-0.01171875,-0.00019157568923322543,13,512,10,6
-0.0234375,0.0003538254349353398,13,512,26,6
0.01171875,0.0001327139595254101,13,512,58,6
-0.00390625,-3.342425415198136e-05,13,512,122,6
-0.01171875,4.8019892912920525e-05,13,512,250,6
-0.0078125,9.223930440938055e-05,13,512,506,6
0.01171875,-8.509631498943016e-05,13,512,1018,6
-0.01953125,0.0015985739784691866,14,512,2,6
0.01953125,0.00048027460371791175,14,512,10,6
0.0078125,-1.8218907217648628e-05,14,512,26,6
0.0078125,0.00021498514401763202,14,512,58,6
0.015625,-0.00011615499466688384,14,512,122,6
0.0078125,-0.0002653059493072929,14,512,250,6
0.0078125,0.00011249331320883904,14,512,506,6
-0.03125,-8.672728957992426e-05,14,512,1018,6
0.01953125,-0.0012057698022851504,15,512,2,6
-0.0078125,-0.0004615145184293512,15,512,10,6
-0.00390625,3.288830591607894e-05,15,512,26,6
-0.01953125,-0.00039265602321914006,15,512,58,6
-0.01171875,0.00024812226565429363,15,512,122,6
-0.0078125,-0.0001053511939257401,15,512,250,6
-0.0078125,-0.00015650191854565954,15,512,506,6
0.02734375,7.909908353154194e-05,15,512,1018,6
-0.01953125,-0.0006950992499156206,16,512,2,6
-0.01953125,-0.0010001481734712714,16,512,10,6
0.015625,-5.6275158560770144e-05,16,512,26,6
-0.00390625,0.00021986070690716009,16,512,58,6
0.0078125,0.00015979567640322934,16,512,122,6
0.01171875,0.0001894982576247095,16,512,250,6
0.00390625,0.00018512557102901006,16,512,506,6
-0.00390625,5.22716277412405e-05,16,512,1018,6
-0.0078125,-0.0009741757138560514,17,512,2,6
0.015625,0.0002816637431697355,17,512,10,6
-0.03125,-0.00035448341564159325,17,512,26,6
0.01171875,-0.0002804468849642028,17,512,58,6
0.00390625,-0.00016079515368161434,17,512,122,6
0.00390625,0.0001144865862299227,17,512,250,6
-0.03125,-8.681431066814849e-05,17,512,506,6
0.00390625,-0.00014631132418496673,17,512,1018,6
0.02734375,0.001250704377768086,18,512,2,6
0.01171875,0.0007074724769940977,18,512,10,6
0.03125,0.00024303790701507566,18,512,26,6
-0.0078125,0.0005162877947457734,18,512,58,6
0.00390625,1.2705325113882004e-05,18,512,122,6
-0.00390625,2.415190209104079e-05,18,512,250,6
0.015625,-0.00015857646353845123,18,512,506,6
-0.00390625,2.169568724619264e-05,18,512,1018,6
0.0,-0.00023215835718803923,19,512,2,6
-0.0078125,-0.00015955321745153572,19,512,10,6
0.00390625,-0.0004468473043315324,19,512,26,6
0.00390625,-0.0001999766485649701,19,512,58,6
-0.0234375,-0.00024009520888368385,19,512,122,6
-0.00390625,-0.0005732559739219933,19,512,250,6
0.0,0.00022113666093948048,19,512,506,6
0.00390625,8.297076167185224e-05,19,512,1018,6
-0.0390625,-0.0008157595288131869,20,512,2,6
-0.015625,-0.0007335141045068383,20,512,10,6
-0.0390625,-0.0008490771919980045,20,512,26,6
-0.015625,-0.0004642244974171206,20,512,58,6
0.0,0.00016156605080031028,20,512,122,6
-0.0078125,0.0004789040815610379,20,512,250,6
0.0,-3.8983873872022734e-05,20,512,506,6
-0.00390625,1.1921055695363059e-05,20,512,1018,6
0.0078125,0.0009903046970736185,21,512,2,6
0.015625,0.0014039071503157974,21,512,10,6
0.03125,0.0005341122704808354,21,512,26,6
0.0234375,-0.00010090337141432926,21,512,58,6
-0.00390625,-0.0001206691434952889,21,512,122,6
-0.0078125,4.545370349318123e-05,21,512,250,6
0.0234375,0.00013421941515734392,21,512,506,6
-0.00390625,7.212370769504872e-06,21,512,1018,6
0.015625,0.0007379546020342964,22,512,2,6
0.01171875,-0.00038574385230227826,22,512,10,6
0.0078125,0.0006358742598875367,22,512,26,6
0.0078125,0.00040817086471922615,22,512,58,6
0.00390625,2.9332828938355426e-05,22,512,122,6
-0.01171875,-0.0002484004737077772,22,512,250,6
-0.01953125,-0.000575351796861856,22,512,506,6
-0.01953125,-9.132236358588841e-05,22,512,1018,6
-0.0078125,-0.0005472060182376559,23,512,2,6
-0.00390625,-0.00032084385205910504,23,512,10,6
-0.00390625,0.0003176467490690893,23,512,26,6
-0.015625,-0.0002764208923557998,23,512,58,6
0.01171875,0.00031828909182585186,23,512,122,6
0.03125,0.0004754903011445766,23,512,250,6
0.01953125,0.0004611175819302371,23,512,506,6
0.0234375,7.297906942671517e-05,23,512,1018,6
0.0234375,-0.0008901877681836146,24,512,2,6
0.0,-6.717053028992837e-05,24,512,10,6
-0.0234375,-0.0003695164854043975,24,512,26,6
0.0078125,-8.18150013819352e-05,24,512,58,6
-0.00390625,-0.0004420984889357271,24,512,122,6
-0.01171875,-0.0004404730613514207,24,512,250,6
-0.01171875,8.70797309786564e-05,24,512,506,6
0.0078125,-0.00014543713234194122,24,512,1018,6
-0.046875,-0.0017595088121430402,25,512,2,6
-0.01953125,-0.00039323160365645204,25,512,10,6
-0.015625,-0.00011920814504762234,25,512,26,6
-0.01953125,-0.0001979040060637871,25,512,58,6
-0.00390625,7.232839781212697e-05,25,512,122,6
0.00390625,-0.00010332246236566256,25,512,250,6
0.0078125,-9.08707455800073e-05,25,512,506,6
0.00390625,0.00019403513421778484,25,512,1018,6
0.0390625,0.0027735411812166433,26,512,2,6
0.01171875,0.0006556523280079052,26,512,10,6
0.03125,0.00047066242352411525,26,512,26,6
0.01953125,0.000576074182123687,26,512,58,6
0.0,0.0002234722705751757,26,512,122,6
0.0078125,0.0003584695276177552,26,512,250,6
0.0,7.203040132597316e-05,26,512,506,6
-0.0078125,-5.280416514485964e-05,26,512,1018,6
0.0078125,-0.0011566163478383684,27,512,2,6
-0.01171875,-0.0010352021555185553,27,512,10,6
-0.0546875,-0.00022607289609632986,27,512,26,6
0.0078125,0.0001897415391577395,27,512,58,6
0.01171875,-9.627114506016721e-05,27,512,122,6
-0.0078125,-0.00010188830525881265,27,512,250,6
-0.03515625,-8.552233445868751e-06,27,512,506,6
-0.0078125,2.7620666613881184e-06,27,512,1018,6
-0.00390625,0.0008284570403048752,28,512,2,6
0.0234375,0.0007288772331134341,28,512,10,6
0.0546875,0.0005069474552126252,28,512,26,6
-0.01953125,-0.00041760631544052185,28,512,58,6
-0.01953125,-0.00021197037129172536,28,512,122,6
-0.015625,1.8684027222604094e-05,28,512,250,6
0.02734375,-0.00010983689912436034,28,512,506,6
0.00390625,9.065192598800564e-07,28,512,1018,6
-0.015625,-0.0020216254406694167,29,512,2,6
-0.01953125,-0.0006933530206799654,29,512,10,6
-0.02734375,-0.001540993287543313,29,512,26,6
0.0,-9.903710563996526e-05,29,512,58,6
0.01953125,0.00022900111389179134,29,512,122,6
0.02734375,9.863926950903767e-06,29,512,250,6
0.00390625,-6.16836480404892e-05,29,512,506,6
-0.0078125,3.32152408890618e-05,29,512,1018,6
