n_dims_1,sim_type,model,metric,metric_value
10,multi_equal,lr,auc,0.4884033203125
10,multi_equal,lr,auc,0.5193023681640625
10,multi_equal,lr,auc,0.530914306640625
10,multi_equal,lr,auc,0.519989013671875
10,multi_equal,lr,auc,0.5190277099609375
10,multi_equal,lr,auc,0.514556884765625
10,multi_equal,lr,auc,0.5619659423828125
10,multi_equal,lr,auc,0.5298309326171875
10,multi_equal,lr,auc,0.50323486328125
10,multi_equal,lr,auc,0.5024871826171875
10,multi_equal,lr,auc,0.4699859619140625
10,multi_equal,lr,auc,0.499420166015625
10,multi_equal,lr,auc,0.500640869140625
10,multi_equal,lr,auc,0.5110321044921875
10,multi_equal,lr,auc,0.49749755859375
10,multi_equal,lr,auc,0.5590362548828125
10,multi_equal,lr,auc,0.413604736328125
10,multi_equal,lr,auc,0.4463958740234375
10,multi_equal,lr,auc,0.5505523681640625
10,multi_equal,lr,auc,0.5175933837890625
10,multi_equal,lr,auc,0.468017578125
10,multi_equal,lr,auc,0.4646759033203125
10,multi_equal,lr,auc,0.52154541015625
10,multi_equal,lr,auc,0.5245208740234375
10,multi_equal,lr,auc,0.49615478515625
10,multi_equal,lr,auc,0.497222900390625
10,multi_equal,lr,auc,0.500946044921875
10,multi_equal,lr,auc,0.54339599609375
10,multi_equal,lr,auc,0.543243408203125
10,multi_equal,lr,auc,0.4365692138671875
10,multi_equal,lr,auc,0.5615997314453125
10,multi_equal,lr,auc,0.4889373779296875
10,multi_equal,lr,auc,0.4622039794921875
10,multi_equal,lr,auc,0.47210693359375
10,multi_equal,lr,auc,0.4894256591796875
10,multi_equal,lr,auc,0.5486907958984375
10,multi_equal,lr,auc,0.51708984375
10,multi_equal,lr,auc,0.46343994140625
10,multi_equal,lr,auc,0.5323944091796875
10,multi_equal,lr,auc,0.4725799560546875
10,multi_equal,lr,auc,0.4268341064453125
10,multi_equal,lr,auc,0.537200927734375
10,multi_equal,lr,auc,0.4819183349609375
10,multi_equal,lr,auc,0.4910430908203125
10,multi_equal,lr,auc,0.5085296630859375
10,multi_equal,lr,auc,0.46246337890625
10,multi_equal,lr,auc,0.507171630859375
10,multi_equal,lr,auc,0.5235137939453125
10,multi_equal,lr,auc,0.494659423828125
10,multi_equal,lr,auc,0.4585723876953125
10,multi_equal,lr,auc,0.52850341796875
10,multi_equal,lr,auc,0.4860382080078125
10,multi_equal,lr,auc,0.547088623046875
10,multi_equal,lr,auc,0.5025177001953125
10,multi_equal,lr,auc,0.4430084228515625
10,multi_equal,lr,auc,0.4500885009765625
10,multi_equal,lr,auc,0.4727935791015625
10,multi_equal,lr,auc,0.4923553466796875
10,multi_equal,lr,auc,0.4637603759765625
26,multi_equal,lr,auc,0.4619903564453125
26,multi_equal,lr,auc,0.4683990478515625
26,multi_equal,lr,auc,0.518585205078125
26,multi_equal,lr,auc,0.4336700439453125
26,multi_equal,lr,auc,0.4627685546875
26,multi_equal,lr,auc,0.56744384765625
26,multi_equal,lr,auc,0.4755706787109375
26,multi_equal,lr,auc,0.5252838134765625
26,multi_equal,lr,auc,0.4249420166015625
26,multi_equal,lr,auc,0.5064239501953125
26,multi_equal,lr,auc,0.516937255859375
26,multi_equal,lr,auc,0.516571044921875
26,multi_equal,lr,auc,0.5454559326171875
26,multi_equal,lr,auc,0.4656524658203125
26,multi_equal,lr,auc,0.4742431640625
26,multi_equal,lr,auc,0.55328369140625
26,multi_equal,lr,auc,0.5271453857421875
26,multi_equal,lr,auc,0.5080413818359375
26,multi_equal,lr,auc,0.4913177490234375
26,multi_equal,lr,auc,0.455963134765625
26,multi_equal,lr,auc,0.5062713623046875
26,multi_equal,lr,auc,0.53009033203125
26,multi_equal,lr,auc,0.502197265625
26,multi_equal,lr,auc,0.526214599609375
26,multi_equal,lr,auc,0.54840087890625
26,multi_equal,lr,auc,0.51055908203125
26,multi_equal,lr,auc,0.5511474609375
26,multi_equal,lr,auc,0.4967041015625
26,multi_equal,lr,auc,0.532012939453125
26,multi_equal,lr,auc,0.4622039794921875
26,multi_equal,lr,auc,0.4156646728515625
26,multi_equal,lr,auc,0.58770751953125
26,multi_equal,lr,auc,0.5073699951171875
26,multi_equal,lr,auc,0.4800567626953125
26,multi_equal,lr,auc,0.4791412353515625
26,multi_equal,lr,auc,0.44659423828125
26,multi_equal,lr,auc,0.4954986572265625
26,multi_equal,lr,auc,0.5306549072265625
26,multi_equal,lr,auc,0.57086181640625
26,multi_equal,lr,auc,0.53070068359375
26,multi_equal,lr,auc,0.487030029296875
26,multi_equal,lr,auc,0.539276123046875
26,multi_equal,lr,auc,0.5121612548828125
26,multi_equal,lr,auc,0.4633026123046875
26,multi_equal,lr,auc,0.4844818115234375
26,multi_equal,lr,auc,0.5225677490234375
26,multi_equal,lr,auc,0.50494384765625
26,multi_equal,lr,auc,0.5006103515625
26,multi_equal,lr,auc,0.549652099609375
26,multi_equal,lr,auc,0.5545654296875
26,multi_equal,lr,auc,0.51751708984375
26,multi_equal,lr,auc,0.469268798828125
26,multi_equal,lr,auc,0.5231475830078125
26,multi_equal,lr,auc,0.474151611328125
26,multi_equal,lr,auc,0.4604339599609375
26,multi_equal,lr,auc,0.4871673583984375
26,multi_equal,lr,auc,0.58734130859375
26,multi_equal,lr,auc,0.493682861328125
26,multi_equal,lr,auc,0.4643096923828125
26,multi_equal,lr,auc,0.537078857421875
26,multi_equal,lr,auc,0.5307159423828125
26,multi_equal,lr,auc,0.4762420654296875
26,multi_equal,lr,auc,0.44708251953125
26,multi_equal,lr,auc,0.5639190673828125
26,multi_equal,lr,auc,0.5543060302734375
26,multi_equal,lr,auc,0.5204315185546875
26,multi_equal,lr,auc,0.44482421875
26,multi_equal,lr,auc,0.4940948486328125
26,multi_equal,lr,auc,0.5385284423828125
26,multi_equal,lr,auc,0.5322418212890625
26,multi_equal,lr,auc,0.4847412109375
26,multi_equal,lr,auc,0.55731201171875
26,multi_equal,lr,auc,0.47015380859375
26,multi_equal,lr,auc,0.453643798828125
26,multi_equal,lr,auc,0.495697021484375
26,multi_equal,lr,auc,0.4487762451171875
26,multi_equal,lr,auc,0.519195556640625
26,multi_equal,lr,auc,0.4849090576171875
26,multi_equal,lr,auc,0.4524078369140625
26,multi_equal,lr,auc,0.5053558349609375
26,multi_equal,lr,auc,0.4838714599609375
26,multi_equal,lr,auc,0.4536590576171875
26,multi_equal,lr,auc,0.4988861083984375
26,multi_equal,lr,auc,0.5083770751953125
26,multi_equal,lr,auc,0.474853515625
26,multi_equal,lr,auc,0.5254669189453125
26,multi_equal,lr,auc,0.451171875
26,multi_equal,lr,auc,0.51348876953125
26,multi_equal,lr,auc,0.5254058837890625
26,multi_equal,lr,auc,0.4871978759765625
26,multi_equal,lr,auc,0.4806060791015625
26,multi_equal,lr,auc,0.571136474609375
26,multi_equal,lr,auc,0.478118896484375
26,multi_equal,lr,auc,0.49542236328125
26,multi_equal,lr,auc,0.4461669921875
26,multi_equal,lr,auc,0.4518280029296875
26,multi_equal,lr,auc,0.47930908203125
26,multi_equal,lr,auc,0.4676666259765625
26,multi_equal,lr,auc,0.474761962890625
26,multi_equal,lr,auc,0.5002288818359375
58,multi_equal,lr,auc,0.4752044677734375
58,multi_equal,lr,auc,0.427947998046875
58,multi_equal,lr,auc,0.501007080078125
58,multi_equal,lr,auc,0.47015380859375
58,multi_equal,lr,auc,0.4837188720703125
58,multi_equal,lr,auc,0.5149993896484375
58,multi_equal,lr,auc,0.501800537109375
58,multi_equal,lr,auc,0.5589599609375
58,multi_equal,lr,auc,0.4894561767578125
58,multi_equal,lr,auc,0.529632568359375
58,multi_equal,lr,auc,0.527069091796875
58,multi_equal,lr,auc,0.5524749755859375
58,multi_equal,lr,auc,0.5166778564453125
58,multi_equal,lr,auc,0.4976806640625
58,multi_equal,lr,auc,0.4818878173828125
58,multi_equal,lr,auc,0.5263214111328125
58,multi_equal,lr,auc,0.4955596923828125
58,multi_equal,lr,auc,0.543975830078125
58,multi_equal,lr,auc,0.511566162109375
58,multi_equal,lr,auc,0.456024169921875
58,multi_equal,lr,auc,0.5210418701171875
58,multi_equal,lr,auc,0.500946044921875
58,multi_equal,lr,auc,0.4726104736328125
58,multi_equal,lr,auc,0.5270538330078125
58,multi_equal,lr,auc,0.4956817626953125
58,multi_equal,lr,auc,0.4838714599609375
58,multi_equal,lr,auc,0.5531463623046875
58,multi_equal,lr,auc,0.459686279296875
58,multi_equal,lr,auc,0.5035247802734375
58,multi_equal,lr,auc,0.503204345703125
58,multi_equal,lr,auc,0.4929351806640625
58,multi_equal,lr,auc,0.527069091796875
58,multi_equal,lr,auc,0.5128631591796875
58,multi_equal,lr,auc,0.4002685546875
58,multi_equal,lr,auc,0.4962158203125
58,multi_equal,lr,auc,0.5019683837890625
58,multi_equal,lr,auc,0.4609832763671875
58,multi_equal,lr,auc,0.519439697265625
58,multi_equal,lr,auc,0.5915679931640625
58,multi_equal,lr,auc,0.562347412109375
58,multi_equal,lr,auc,0.4808502197265625
58,multi_equal,lr,auc,0.538055419921875
58,multi_equal,lr,auc,0.519256591796875
58,multi_equal,lr,auc,0.5113983154296875
58,multi_equal,lr,auc,0.5109710693359375
58,multi_equal,lr,auc,0.5212554931640625
58,multi_equal,lr,auc,0.4757843017578125
