sas98,idx,n_samples,n_dims_1,n_dims_2
-0.0234375,73,256,506,6
-0.0078125,73,512,506,6
0.0,73,1024,506,6
0.0234375,74,256,506,6
-0.0390625,74,512,506,6
-0.02734375,74,1024,506,6
-0.0078125,75,256,506,6
0.0390625,75,512,506,6
0.033203125,75,1024,506,6
0.0,76,256,506,6
0.0078125,76,512,506,6
-0.033203125,76,1024,506,6
0.015625,77,256,506,6
-0.00390625,77,512,506,6
0.015625,77,1024,506,6
-0.015625,78,256,506,6
-0.02734375,78,512,506,6
0.01171875,78,1024,506,6
0.0234375,79,256,506,6
0.00390625,79,512,506,6
0.005859375,79,1024,506,6
-0.0078125,80,256,506,6
0.01953125,80,512,506,6
-0.017578125,80,1024,506,6
0.0078125,81,256,506,6
-0.00390625,81,512,506,6
0.0078125,81,1024,506,6
-0.0234375,82,256,506,6
0.0,82,512,506,6
0.001953125,82,1024,506,6
0.015625,83,256,506,6
0.01171875,83,512,506,6
-0.015625,83,1024,506,6
0.0,84,256,506,6
0.0,84,512,506,6
0.0234375,84,1024,506,6
0.015625,85,256,506,6
0.0,85,512,506,6
-0.01171875,85,1024,506,6
-0.03125,86,256,506,6
-0.02734375,86,512,506,6
0.0078125,86,1024,506,6
-0.0078125,87,256,506,6
0.01171875,87,512,506,6
0.0078125,87,1024,506,6
0.03125,88,256,506,6
0.015625,88,512,506,6
-0.0078125,88,1024,506,6
-0.0078125,89,256,506,6
-0.00390625,89,512,506,6
0.005859375,89,1024,506,6
-0.0078125,90,256,506,6
-0.0078125,90,512,506,6
-0.005859375,90,1024,506,6
-0.015625,91,256,506,6
-0.01171875,91,512,506,6
-0.015625,91,1024,506,6
0.0078125,92,256,506,6
-0.0078125,92,512,506,6
0.017578125,92,1024,506,6
0.0078125,93,256,506,6
0.03125,93,512,506,6
-0.0078125,93,1024,506,6
0.0078125,94,256,506,6
-0.01953125,94,512,506,6
0.0078125,94,1024,506,6
0.0,95,256,506,6
0.01171875,95,512,506,6
-0.017578125,95,1024,506,6
0.015625,96,256,506,6
0.00390625,96,512,506,6
0.015625,96,1024,506,6
-0.0078125,97,256,506,6
-0.00390625,97,512,506,6
-0.009765625,97,1024,506,6
0.0,98,256,506,6
-0.0078125,98,512,506,6
-0.009765625,98,1024,506,6
-0.015625,99,256,506,6
-0.01171875,99,512,506,6
0.013671875,99,1024,506,6
