sas98,idx,n_samples,n_dims_1,n_dims_2
-0.0234375,64,512,506,6
0.00390625,64,1024,506,6
-0.015625,65,256,506,6
0.015625,65,512,506,6
-0.0078125,65,1024,506,6
0.03125,66,256,506,6
0.00390625,66,512,506,6
-0.0078125,66,1024,506,6
0.0,67,256,506,6
0.0,67,512,506,6
0.009765625,67,1024,506,6
-0.0234375,68,256,506,6
0.00390625,68,512,506,6
-0.001953125,68,1024,506,6
-0.015625,69,256,506,6
0.01171875,69,512,506,6
-0.001953125,69,1024,506,6
0.03125,70,256,506,6
-0.01171875,70,512,506,6
0.013671875,70,1024,506,6
-0.046875,71,256,506,6
0.0,71,512,506,6
-0.01171875,71,1024,506,6
0.046875,72,256,506,6
-0.0078125,72,512,506,6
0.0078125,72,1024,506,6
-0.0078125,73,256,506,6
-0.02734375,73,512,506,6
-0.009765625,73,1024,506,6
-0.0078125,74,256,506,6
0.03125,74,512,506,6
-0.015625,74,1024,506,6
-0.015625,75,256,506,6
0.0,75,512,506,6
0.017578125,75,1024,506,6
-0.015625,76,256,506,6
-0.01171875,76,512,506,6
0.001953125,76,1024,506,6
0.0390625,77,256,506,6
-0.03125,77,512,506,6
-0.009765625,77,1024,506,6
-0.03125,78,256,506,6
0.015625,78,512,506,6
0.001953125,78,1024,506,6
-0.0078125,79,256,506,6
0.01953125,79,512,506,6
0.001953125,79,1024,506,6
0.0234375,80,256,506,6
0.0078125,80,512,506,6
0.001953125,80,1024,506,6
0.015625,81,256,506,6
-0.0078125,81,512,506,6
-0.00390625,81,1024,506,6
-0.0078125,82,256,506,6
-0.0078125,82,512,506,6
-0.005859375,82,1024,506,6
0.0234375,83,256,506,6
0.03125,83,512,506,6
0.029296875,83,1024,506,6
-0.0078125,84,256,506,6
-0.0234375,84,512,506,6
-0.005859375,84,1024,506,6
-0.0625,85,256,506,6
0.00390625,85,512,506,6
-0.013671875,85,1024,506,6
0.0390625,86,256,506,6
-0.0234375,86,512,506,6
-0.001953125,86,1024,506,6
0.0078125,87,256,506,6
0.03125,87,512,506,6
-0.005859375,87,1024,506,6
-0.0078125,88,256,506,6
-0.01953125,88,512,506,6
0.0078125,88,1024,506,6
0.0234375,89,256,506,6
0.015625,89,512,506,6
-0.001953125,89,1024,506,6
-0.0234375,90,256,506,6
0.00390625,90,512,506,6
0.005859375,90,1024,506,6
-0.0078125,91,256,506,6
-0.015625,91,512,506,6
0.0,91,1024,506,6
-0.0234375,92,256,506,6
0.02734375,92,512,506,6
0.0078125,92,1024,506,6
0.0625,93,256,506,6
-0.01953125,93,512,506,6
-0.009765625,93,1024,506,6
-0.0078125,94,256,506,6
-0.0078125,94,512,506,6
-0.001953125,94,1024,506,6
-0.0234375,95,256,506,6
-0.01953125,95,512,506,6
0.0,95,1024,506,6
0.03125,96,256,506,6
0.03125,96,512,506,6
0.01171875,96,1024,506,6
-0.0390625,97,256,506,6
-0.0078125,97,512,506,6
-0.01171875,97,1024,506,6
0.0,98,256,506,6
0.0,98,512,506,6
0.001953125,98,1024,506,6
0.015625,99,256,506,6
-0.0078125,99,512,506,6
-0.00390625,99,1024,506,6
