cmi,idx,n_samples,n_dims_1,n_dims_2
-0.0035719043774106174,0,256,4090,6
-0.008924933965780646,0,512,4090,6
-0.01908619011062329,0,1024,4090,6
-0.03024070234254539,0,2048,4090,6
-0.044269769982645424,0,4096,4090,6
-0.009693706009630931,1,256,4090,6
-0.01242520613561604,1,512,4090,6
-0.02987162335794269,1,1024,4090,6
-0.03856601289897954,1,2048,4090,6
-0.0516822890096319,1,4096,4090,6
-0.0007793163445877216,2,256,4090,6
-0.008065100414083815,2,512,4090,6
-0.01925767338904294,2,1024,4090,6
-0.0313238863184232,2,2048,4090,6
-0.039295811018162374,2,4096,4090,6
-0.002132563762099693,3,256,4090,6
-0.010220113305927758,3,512,4090,6
-0.02179971885095644,3,1024,4090,6
-0.03261792911428829,3,2048,4090,6
-0.04280265356574686,3,4096,4090,6
-0.0011173997529920765,4,256,4090,6
-0.006865323119438216,4,512,4090,6
-0.022394577458959786,4,1024,4090,6
-0.03408547500777792,4,2048,4090,6
-0.039515996513757146,4,4096,4090,6
-0.0006994665959167978,5,256,4090,6
-0.00884224114836707,5,512,4090,6
-0.01777684908914945,5,1024,4090,6
-0.03384231910283009,5,2048,4090,6
-0.04356782154691918,5,4096,4090,6
-0.0019396637364621494,6,256,4090,6
-0.006913291789796383,6,512,4090,6
-0.02185477392780777,6,1024,4090,6
-0.041195410769553575,6,2048,4090,6
-0.049258609356824024,6,4096,4090,6
-0.0006893797514192501,7,256,4090,6
-0.01391277508704003,7,512,4090,6
-0.01607491653286719,7,1024,4090,6
-0.03107857727497465,7,2048,4090,6
-0.04202443637468933,7,4096,4090,6
-0.001312642571325462,8,256,4090,6
-0.015566967502788298,8,512,4090,6
-0.021024616226668735,8,1024,4090,6
-0.03787895523717011,8,2048,4090,6
-0.04947826239869135,8,4096,4090,6
-0.010438873392871417,9,256,4090,6
-0.016997248676643206,9,512,4090,6
-0.022134788875503908,9,1024,4090,6
-0.03999388378648783,9,2048,4090,6
-0.052293645006938005,9,4096,4090,6
-0.0029357755214763914,10,256,4090,6
-0.015281331232072537,10,512,4090,6
-0.021913196357270404,10,1024,4090,6
-0.029787617450318993,10,2048,4090,6
-0.04621116165084094,10,4096,4090,6
-0.004055432135219306,11,256,4090,6
-0.010827938460453046,11,512,4090,6
-0.020455123622936444,11,1024,4090,6
-0.03299531216468776,11,2048,4090,6
-0.047026163084702866,11,4096,4090,6
-0.0027588525661145225,12,256,4090,6
-0.010433852744301753,12,512,4090,6
-0.018481543836886827,12,1024,4090,6
-0.03717394834974341,12,2048,4090,6
-0.04470040761295768,12,4096,4090,6
-0.004110284393477159,13,256,4090,6
-0.007536217683253743,13,512,4090,6
-0.0211111203346126,13,1024,4090,6
-0.040866507184912804,13,2048,4090,6
-0.04473274510593361,13,4096,4090,6
-0.0011059792798483459,14,256,4090,6
-0.011544375018076258,14,512,4090,6
-0.021745724731739302,14,1024,4090,6
-0.02831993191371296,14,2048,4090,6
-0.03962167212320644,14,4096,4090,6
-0.0039041555058854094,15,256,4090,6
