sas98,idx,n_samples,n_dims_1,n_dims_2
0.02734375,27,512,250,6
-0.01953125,27,512,506,6
0.015625,27,512,1018,6
-0.06640625,28,512,2,6
0.05078125,28,512,10,6
-0.0390625,28,512,26,6
0.0078125,28,512,58,6
0.0234375,28,512,122,6
-0.04296875,28,512,250,6
0.05078125,28,512,506,6
0.00390625,28,512,1018,6
-0.0234375,29,512,2,6
-0.015625,29,512,10,6
0.03125,29,512,26,6
-0.01171875,29,512,58,6
0.0,29,512,122,6
0.04296875,29,512,250,6
-0.0234375,29,512,506,6
-0.01953125,29,512,1018,6
0.07421875,30,512,2,6
0.03515625,30,512,10,6
-0.05078125,30,512,26,6
-0.01171875,30,512,58,6
0.015625,30,512,122,6
0.0,30,512,250,6
-0.015625,30,512,506,6
-0.0234375,30,512,1018,6
-0.04296875,31,512,2,6
-0.02734375,31,512,10,6
0.0625,31,512,26,6
-0.01953125,31,512,58,6
-0.0234375,31,512,122,6
-0.01171875,31,512,250,6
0.00390625,31,512,506,6
0.04296875,31,512,1018,6
0.046875,32,512,2,6
-0.0234375,32,512,10,6
-0.03125,32,512,26,6
0.015625,32,512,58,6
-0.03125,32,512,122,6
-0.1015625,32,512,250,6
0.0234375,32,512,506,6
-0.00390625,32,512,1018,6
0.01171875,33,512,2,6
0.0234375,33,512,10,6
0.03515625,33,512,26,6
0.0234375,33,512,58,6
0.01171875,33,512,122,6
0.09375,33,512,250,6
0.01953125,33,512,506,6
-0.0078125,33,512,1018,6
-0.01171875,34,512,2,6
-0.0078125,34,512,10,6
-0.03515625,34,512,26,6
-0.0234375,34,512,58,6
0.04296875,34,512,122,6
-0.02734375,34,512,250,6
-0.0234375,34,512,506,6
0.0078125,34,512,1018,6
-0.0703125,35,512,2,6
0.01953125,35,512,10,6
0.0,35,512,26,6
-0.0078125,35,512,58,6
0.00390625,35,512,122,6
0.02734375,35,512,250,6
-0.00390625,35,512,506,6
-0.01953125,35,512,1018,6
0.046875,36,512,2,6
-0.01171875,36,512,10,6
-0.01171875,36,512,26,6
-0.015625,36,512,58,6
-0.02734375,36,512,122,6
0.01171875,36,512,250,6
0.01953125,36,512,506,6
-0.00390625,36,512,1018,6
0.03125,37,512,2,6
0.00390625,37,512,10,6
0.03515625,37,512,26,6
0.01171875,37,512,58,6
0.0078125,37,512,122,6
-0.05078125,37,512,250,6
-0.03515625,37,512,506,6
0.01171875,37,512,1018,6
-0.01171875,38,512,2,6
-0.01171875,38,512,10,6
-0.0546875,38,512,26,6
-0.01171875,38,512,58,6
0.0,38,512,122,6
0.046875,38,512,250,6
0.015625,38,512,506,6
0.03125,38,512,1018,6
0.015625,39,512,2,6
-0.0078125,39,512,10,6
0.0546875,39,512,26,6
0.03125,39,512,58,6
0.0,39,512,122,6
0.0078125,39,512,250,6
-0.015625,39,512,506,6
-0.07421875,39,512,1018,6
-0.0625,40,512,2,6
0.0234375,40,512,10,6
-0.05078125,40,512,26,6
0.0,40,512,58,6
-0.01171875,40,512,122,6
-0.046875,40,512,250,6
0.0390625,40,512,506,6
0.0546875,40,512,1018,6
-0.00390625,41,512,2,6
-0.0390625,41,512,10,6
-0.01953125,41,512,26,6
-0.01953125,41,512,58,6
-0.00390625,41,512,122,6
0.015625,41,512,250,6
-0.07421875,41,512,506,6
0.0078125,41,512,1018,6
0.05078125,42,512,2,6
0.03125,42,512,10,6
0.01171875,42,512,26,6
0.015625,42,512,58,6
-0.01171875,42,512,122,6
0.01171875,42,512,250,6
0.07421875,42,512,506,6
-0.02734375,42,512,1018,6
-0.06640625,43,512,2,6
0.0,43,512,10,6
0.0234375,43,512,26,6
-0.03125,43,512,58,6
-0.0390625,43,512,122,6
-0.01953125,43,512,250,6
0.0234375,43,512,506,6
0.01171875,43,512,1018,6
0.0390625,44,512,2,6
-0.00390625,44,512,10,6
0.0390625,44,512,26,6
0.01953125,44,512,58,6
0.04296875,44,512,122,6
0.00390625,44,512,250,6
-0.0234375,44,512,506,6
-0.01171875,44,512,1018,6
-0.01171875,45,512,2,6
-0.015625,45,512,10,6
-0.046875,45,512,26,6
0.01171875,45,512,58,6
0.015625,45,512,122,6
0.03515625,45,512,250,6
-0.01171875,45,512,506,6
0.00390625,45,512,1018,6
0.0234375,46,512,2,6
0.0234375,46,512,10,6
0.046875,46,512,26,6
0.01171875,46,512,58,6
0.0,46,512,122,6
0.0,46,512,250,6
0.03515625,46,512,506,6
0.0,46,512,1018,6
0.00390625,47,512,2,6
0.0078125,47,512,10,6
-0.01953125,47,512,26,6
-0.0234375,47,512,58,6
0.01171875,47,512,122,6
-0.04296875,47,512,250,6
-0.05859375,47,512,506,6
-0.0234375,47,512,1018,6
-0.05078125,48,512,2,6
-0.0546875,48,512,10,6
0.00390625,48,512,26,6
0.03515625,48,512,58,6
-0.00390625,48,512,122,6
0.01171875,48,512,250,6
0.0390625,48,512,506,6
0.03515625,48,512,1018,6
0.03515625,49,512,2,6
0.0546875,49,512,10,6
-0.0234375,49,512,26,6
-0.0234375,49,512,58,6
0.0,49,512,122,6
0.02734375,49,512,250,6
-0.0234375,49,512,506,6
-0.00390625,49,512,1018,6
0.015625,50,512,2,6
-0.0390625,50,512,10,6
0.0234375,50,512,26,6
-0.00390625,50,512,58,6
0.0,50,512,122,6
0.01171875,50,512,250,6
0.00390625,50,512,506,6
-0.0390625,50,512,1018,6
0.01171875,51,512,2,6
0.05078125,51,512,10,6
-0.00390625,51,512,26,6
0.0234375,51,512,58,6
-0.0078125,51,512,122,6
-0.0625,51,512,250,6
0.0234375,51,512,506,6
0.01953125,51,512,1018,6
0.00390625,52,512,2,6
-0.01171875,52,512,10,6
-0.00390625,52,512,26,6
-0.01953125,52,512,58,6
0.00390625,52,512,122,6
0.03125,52,512,250,6
-0.0078125,52,512,506,6
0.00390625,52,512,1018,6
0.01953125,53,512,2,6
-0.01171875,53,512,10,6
0.01953125,53,512,26,6
-0.00390625,53,512,58,6
-0.03125,53,512,122,6
0.00390625,53,512,250,6
0.0,53,512,506,6
