Variable Set,Classifier,mean,median,std,CoV
MotifAnalysis.CongruentDimer,might,0.45600000000000007,0.456,0.001,0.0021929824561403508
MotifAnalysis.OutsideDimer,might,0.4,0.4,0.001,0.0025
LengthAnalysis.Length15,might,0.352,0.352,0.001,0.002840909090909091
DyadAccessibility.AluY,might,0.30399999999999994,0.304,0.001,0.003289473684210527
MotifAnalysis.InsideTrimer0.05,might,0.4248,0.424,0.002400000000000002,0.005649717514124298
ichorCNA.ichorCNA,might,0.36879999999999996,0.368,0.0024000000000000024,0.0065075921908893785
MotifAnalysis.InsidePentamer,might,0.34319999999999995,0.344,0.0023999999999999855,0.006993006993006951
DyadAccessibility.cCRE_Promoters,might,0.5775999999999999,0.576,0.004800000000000004,0.008310249307479234
LengthAnalysis.Length20,might,0.38239999999999996,0.384,0.0032000000000000028,0.008368200836820092
WiseCondorX.Wise-10,might,0.45680000000000004,0.456,0.004308131845707607,0.009431111746295111
DyadAccessibility.cCRE_DistalEnhancers,might,0.3296,0.328,0.003200000000000003,0.00970873786407768
DyadAccessibility.BudhrajaRPR,might,0.31039999999999995,0.312,0.0032000000000000028,0.010309278350515474
LengthAnalysis.Length1,might,0.3056,0.304,0.0032000000000000028,0.010471204188481685
MotifAnalysis.DegenerateTetramer,might,0.34079999999999994,0.344,0.003919183588453061,0.011499951844052411
Delfi.LengthRatio,might,0.6079999999999999,0.608,0.008000000000000007,0.01315789473684212
MotifAnalysis.OutsideMonomer,might,0.3968,0.396,0.005306599664568633,0.01337348705788466
MotifAnalysis.InsideDimer,might,0.3952,0.396,0.005306599664568645,0.013427630730183819
MotifAnalysis.CongruentTetramer,might,0.5104,0.508,0.006974238309665083,0.013664260011099301
MotifAnalysis.InsideTrimer0.01,might,0.4176,0.416,0.005986651818838311,0.01433585205660515
DyadAccessibility.cCRE_DNaseH3K4me3,might,0.5983999999999999,0.6,0.008616263691415214,0.014398836382712592
LengthAnalysis.Length10,might,0.372,0.376,0.0053665631459995,0.014426245016127688
MotifAnalysis.InsideHexamer,might,0.34719999999999995,0.344,0.005306599664568644,0.015283985209011074
MotifAnalysis.InsideMonomer,might,0.3136,0.312,0.004800000000000004,0.015306122448979605
WiseCondorX.Wise-1,might,0.6312,0.632,0.01040000000000001,0.016476552598225617
DyadAccessibility.cCRE_CTCF,might,0.3976,0.4,0.007199999999999989,0.018108651911468786
DyadAccessibility.LINEs,might,0.4152,0.416,0.0075471849056452794,0.0181772276147526
MotifAnalysis.OutsideTrimer,might,0.45680000000000004,0.456,0.008352245207128437,0.018284249577776787
MotifAnalysis.OutsidePentamer,might,0.4104,0.416,0.008039900496896698,0.01959040082089839
LociFraction.LINEsFraction,might,0.5072000000000001,0.512,0.010244998779892565,0.020199130086538966
MotifAnalysis.OutsideTetramer,might,0.4144,0.412,0.008616263691415205,0.02079214211248843
DyadAccessibility.AluS,might,0.29839999999999994,0.3,0.006248199740725329,0.020939007174012498
MotifAnalysis.InsideTrimer,might,0.29839999999999994,0.296,0.0062481997407253295,0.0209390071740125
MotifAnalysis.InsideTetramer,might,0.34719999999999995,0.344,0.007332121111929342,0.021117860345418616
