Variable Set,Classifier,mean,median,std,CoV
MotifAnalysis.InsideTrimer0.01,might,0.2857142857142857,0.2857142857142857,0.001,0.0035
LengthAnalysis.Length10,might,0.31031746031746027,0.30952380952380953,0.0023809523809523725,0.007672634271099718
DyadAccessibility.AluJ,might,0.3087301587301587,0.30952380952380953,0.002380952380952389,0.007712082262210824
MotifAnalysis.InsideTrimer,might,0.3666666666666667,0.36507936507936506,0.0031746031746031854,0.008658008658008687
MotifAnalysis.InsideTetramer,might,0.35873015873015873,0.35714285714285715,0.0031746031746031633,0.008849557522123862
LociFraction.cCREFraction,might,0.3833333333333333,0.38095238095238093,0.003636964837266552,0.009487734358086659
MotifAnalysis.InsideDimer,might,0.39285714285714285,0.39285714285714285,0.003968253968253954,0.010101010101010065
MotifAnalysis.OutsideDimer,might,0.39285714285714285,0.39285714285714285,0.003968253968253954,0.010101010101010065
MotifAnalysis.OutsideTetramer,might,0.3380952380952381,0.3412698412698413,0.0038880789567987085,0.011499951844052517
DyadAccessibility.AluS,might,0.3380952380952381,0.3412698412698413,0.0038880789567987085,0.011499951844052517
MotifAnalysis.OutsideTrimer,might,0.3563492063492063,0.35714285714285715,0.004273940323122625,0.011993685539275075
MotifAnalysis.DegenerateHexamer,might,0.3293650793650794,0.32936507936507936,0.003968253968253954,0.012048192771084293
LociFraction.LINEsFraction,might,0.3293650793650794,0.32936507936507936,0.003968253968253954,0.012048192771084293
LengthAnalysis.Length5,might,0.3222222222222222,0.3253968253968254,0.0038880789567987085,0.012066451934892544
MotifAnalysis.OutsidePentamer,might,0.37142857142857144,0.373015873015873,0.0047619047619047615,0.012820512820512818
MotifAnalysis.CongruentHexamer,might,0.3833333333333333,0.38095238095238093,0.005081844632883216,0.013256985998825781
LociFraction.AluFraction,might,0.3317460317460318,0.3333333333333333,0.004761904761904756,0.014354066985645914
MotifAnalysis.InsidePentamer,might,0.36190476190476195,0.3611111111111111,0.005264483794214913,0.0145465999576991
MotifAnalysis.InsideMonomer,might,0.3738095238095238,0.373015873015873,0.005555555555555553,0.014861995753715492
MotifAnalysis.InsideHexamer,might,0.319047619047619,0.31746031746031744,0.0047619047619047675,0.014925373134328377
DyadAccessibility.cCRE_Promoters,might,0.3158730158730158,0.31746031746031744,0.004761904761904755,0.015075376884422093
MotifAnalysis.OutsideHexamer,might,0.3373015873015873,0.3412698412698413,0.005323971374999505,0.01578400925293971
DyadAccessibility.cCRE_ProximalEnhancers,might,0.3301587301587302,0.32936507936507936,0.005264483794214913,0.015945311492093245
DyadAccessibility.LINEs,might,0.32222222222222224,0.3214285714285714,0.005264483794214927,0.016338053154460117
LengthAnalysis.Length20,might,0.32063492063492066,0.31746031746031744,0.005264483794214924,0.01641893460571981
MotifAnalysis.OutsideMonomer,might,0.38968253968253963,0.3888888888888889,0.0065925586213635414,0.01691776754158465
DyadAccessibility.cCRE_DNaseH3K4me3,might,0.3182539682539683,0.31746031746031744,0.005555555555555557,0.01745635910224439
WiseCondorX.Wise-10,might,0.2984126984126984,0.2976190476190476,0.005264483794214913,0.017641621225294654
DyadAccessibility.L1,might,0.31904761904761897,0.31746031746031744,0.005939138709164984,0.018615210879472342
WiseCondorX.Wise-5,might,0.29444444444444445,0.29365079365079366,0.005555555555555559,0.0188679245283019
LengthAnalysis.Length1,might,0.31111111111111106,0.30952380952380953,0.005939138709164983,0.019090088708030306
DyadAccessibility.AluY,might,0.3404761904761905,0.3412698412698413,0.006592558621363552,0.01936275958722162
DyadAccessibility.BudhrajaRPR,might,0.31984126984126987,0.31746031746031744,0.00619861085389417,0.019380272148651744
MotifAnalysis.CongruentTetramer,might,0.3674603174603175,0.36507936507936506,0.007142857142857141,0.01943844492440604
MotifAnalysis.InsideTrimer0.05,might,0.30158730158730157,0.30158730158730157,0.0061475926130276455,0.020384122874775878
WiseCondorX.Wise-1,might,0.28809523809523807,0.28968253968253965,0.0061986108538941735,0.021515839327566556
ichorCNA.ichorCNA,might,0.2944444444444444,0.29365079365079366,0.006592558621363555,0.022389821732932833
DyadAccessibility.cCRE_CTCF,might,0.2992063492063492,0.30158730158730157,0.007142857142857144,0.023872679045092843
