Variable Set,Pancreas_S98_one,Breast_S98_one,Breast_S98_comight_B,Pancreas_S98_comight_P
LociFraction.AluFraction,0.1269841269841269,0.1984126984126984,0.3333333333333333,0.528
LociFraction.cCREFraction,0.1587301587301587,0.0634920634920634,0.3809523809523809,0.624
LociFraction.LINEsFraction,0.0952380952380952,0.0158730158730158,0.3333333333333333,0.504
LociFraction.CompartmentFraction,0.1507936507936507,0.0634920634920634,0.3412698412698413,0.472
MotifAnalysis.CongruentDimer,0.4,0.3095238095238095,0.4126984126984127,0.456
MotifAnalysis.CongruentHexamer,0.48,0.3333333333333333,0.3809523809523809,0.488
MotifAnalysis.CongruentTetramer,0.456,0.3174603174603174,0.373015873015873,0.504
MotifAnalysis.DegenerateHexamer,0.36,0.3253968253968254,0.3253968253968254,0.376
MotifAnalysis.DegenerateTetramer,0.36,0.238095238095238,0.3253968253968254,0.344
MotifAnalysis.InsideDimer,0.232,0.3095238095238095,0.3888888888888889,0.392
MotifAnalysis.InsideHexamer,0.336,0.2936507936507936,0.3174603174603174,0.352
MotifAnalysis.InsideMonomer,0.264,0.2857142857142857,0.373015873015873,0.32
MotifAnalysis.InsidePentamer,0.344,0.3492063492063492,0.365079365079365,0.344
MotifAnalysis.InsideTetramer,0.32,0.365079365079365,0.3571428571428571,0.344
MotifAnalysis.InsideTrimer,0.264,0.3333333333333333,0.365079365079365,0.296
MotifAnalysis.InsideTrimer0.01,0.368,0.1904761904761904,0.2857142857142857,0.416
MotifAnalysis.InsideTrimer0.05,0.424,0.2222222222222222,0.3095238095238095,0.424
MotifAnalysis.OutsideDimer,0.296,0.3015873015873015,0.3968253968253968,0.4
MotifAnalysis.OutsideHexamer,0.368,0.2857142857142857,0.3412698412698413,0.392
MotifAnalysis.OutsideMonomer,0.176,0.1984126984126984,0.3968253968253968,0.392
MotifAnalysis.OutsidePentamer,0.376,0.3174603174603174,0.373015873015873,0.408
MotifAnalysis.OutsideTetramer,0.352,0.3015873015873015,0.3333333333333333,0.416
MotifAnalysis.OutsideTrimer,0.384,0.3571428571428571,0.3571428571428571,0.472
WiseCondorX.Wise-1,0.608,0.1666666666666666,0.2857142857142857,0.624
WiseCondorX.Wise-5,0.4,0.1904761904761904,0.2936507936507936,0.488
WiseCondorX.Wise-10,0.416,0.2301587301587301,0.3095238095238095,0.464
Delfi.LengthRatio,0.12,0.0,0.3015873015873015,0.608
DyadAccessibility.AluJ,0.216,0.0396825396825396,0.3095238095238095,0.312
DyadAccessibility.AluS,0.312,0.1111111111111111,0.3412698412698413,0.304
DyadAccessibility.AluY,0.304,0.1349206349206349,0.3333333333333333,0.304
DyadAccessibility.BudhrajaRPR,0.312,0.0158730158730158,0.3174603174603174,0.312
DyadAccessibility.cCRE_CTCF,0.12,0.0476190476190476,0.2936507936507936,0.392
DyadAccessibility.cCRE_DistalEnhancers,0.144,0.0396825396825396,0.3253968253968254,0.328
DyadAccessibility.cCRE_DNaseH3K4me3,0.104,0.0555555555555555,0.3174603174603174,0.6
DyadAccessibility.cCRE_Promoters,0.104,0.0555555555555555,0.3174603174603174,0.576
DyadAccessibility.cCRE_ProximalEnhancers,0.096,0.0476190476190476,0.3253968253968254,0.4
DyadAccessibility.L1,0.088,0.0476190476190476,0.3174603174603174,0.36
DyadAccessibility.LINEs,0.088,0.0396825396825396,0.3174603174603174,0.416
ichorCNA.ichorCNA,0.3412698412698413,0.0873015873015873,0.2936507936507936,0.368
LengthAnalysis.Length1,0.328,0.0634920634920634,0.3174603174603174,0.312
LengthAnalysis.Length5,0.304,0.0555555555555555,0.3174603174603174,0.336
LengthAnalysis.Length10,0.32,0.0634920634920634,0.3095238095238095,0.368
LengthAnalysis.Length15,0.336,0.0555555555555555,0.3174603174603174,0.352
LengthAnalysis.Length20,0.296,0.0634920634920634,0.3174603174603174,0.384
