Variable Set,Breast
LociFraction.AluFraction,0.3333333333333333
LociFraction.cCREFraction,0.38095238095238093
LociFraction.LINEsFraction,0.3333333333333333
LociFraction.CompartmentFraction,0.3412698412698413
MotifAnalysis.CongruentDimer,0.4126984126984127
MotifAnalysis.CongruentHexamer,0.38095238095238093
MotifAnalysis.CongruentTetramer,0.373015873015873
MotifAnalysis.DegenerateHexamer,0.3253968253968254
MotifAnalysis.DegenerateTetramer,0.3253968253968254
MotifAnalysis.InsideDimer,0.3888888888888889
MotifAnalysis.InsideHexamer,0.31746031746031744
MotifAnalysis.InsideMonomer,0.373015873015873
MotifAnalysis.InsidePentamer,0.36507936507936506
MotifAnalysis.InsideTetramer,0.35714285714285715
MotifAnalysis.InsideTrimer,0.36507936507936506
MotifAnalysis.InsideTrimer0.01,0.2857142857142857
MotifAnalysis.InsideTrimer0.05,0.30952380952380953
MotifAnalysis.OutsideDimer,0.3968253968253968
MotifAnalysis.OutsideHexamer,0.3412698412698413
MotifAnalysis.OutsideMonomer,0.3968253968253968
MotifAnalysis.OutsidePentamer,0.373015873015873
MotifAnalysis.OutsideTetramer,0.3333333333333333
MotifAnalysis.OutsideTrimer,0.35714285714285715
WiseCondorX.Wise-1,0.2857142857142857
WiseCondorX.Wise-5,0.29365079365079366
WiseCondorX.Wise-10,0.30952380952380953
Delfi.LengthRatio,0.30158730158730157
DyadAccessibility.AluJ,0.30952380952380953
DyadAccessibility.AluS,0.3412698412698413
DyadAccessibility.AluY,0.3333333333333333
DyadAccessibility.BudhrajaRPR,0.31746031746031744
DyadAccessibility.cCRE_CTCF,0.29365079365079366
DyadAccessibility.cCRE_DistalEnhancers,0.3253968253968254
DyadAccessibility.cCRE_DNaseH3K4me3,0.31746031746031744
DyadAccessibility.cCRE_Promoters,0.31746031746031744
DyadAccessibility.cCRE_ProximalEnhancers,0.3253968253968254
DyadAccessibility.L1,0.31746031746031744
DyadAccessibility.LINEs,0.31746031746031744
ichorCNA.ichorCNA,0.29365079365079366
LengthAnalysis.Length1,0.31746031746031744
LengthAnalysis.Length5,0.31746031746031744
LengthAnalysis.Length10,0.30952380952380953
LengthAnalysis.Length15,0.31746031746031744
LengthAnalysis.Length20,0.31746031746031744
