Variable Set,Classifier,mean,median,std,CoV
MotifAnalysis.OutsideMonomer,svm,0.7225490196078432,0.7156862745098039,0.03101821964618895,0.042928879293233004
LengthAnalysis.Length1,lr,0.40980392156862744,0.4068627450980392,0.019010509244769914,0.046389280932213665
LengthAnalysis.Length10,svm,0.6215686274509803,0.6274509803921569,0.029801341477589532,0.04794537587877181
MotifAnalysis.InsideMonomer,svm,0.707843137254902,0.7107843137254902,0.03529411764705882,0.04986149584487534
MotifAnalysis.InsideDimer,lr,0.6598039215686274,0.6568627450980392,0.03340534321058985,0.05062919773373201
MotifAnalysis.OutsideDimer,lr,0.6460784313725491,0.6470588235294118,0.03294176003217931,0.05098724618030788
MotifAnalysis.DegenerateTetramer,lr,0.653921568627451,0.6470588235294118,0.03340534321058984,0.05108463279580455
DyadAccessibility.cCRE_Promoters,svm,0.33039215686274515,0.3333333333333333,0.01700916820872302,0.05148175540919133
MotifAnalysis.InsideTrimer,lr,0.6460784313725491,0.6470588235294118,0.03352023724956619,0.05188261304181716
MotifAnalysis.DegenerateTetramer,svm,0.7215686274509805,0.7352941176470589,0.03901911518065175,0.054075404190577145
MotifAnalysis.InsideTrimer0.05,lr,0.6598039215686274,0.6568627450980392,0.03590163416392264,0.05441258075364204
MotifAnalysis.CongruentDimer,lr,0.6460784313725491,0.6470588235294118,0.03547069120612851,0.05490152508384078
MotifAnalysis.InsideDimer,svm,0.711764705882353,0.7205882352941176,0.039751244966104486,0.05584885656394845
MotifAnalysis.OutsideTetramer,lr,0.6352941176470589,0.6372549019607843,0.03556540617101385,0.05598258378770698
MotifAnalysis.InsideTrimer0.01,lr,0.6558823529411765,0.6568627450980392,0.03706089837536431,0.056505405594725854
LengthAnalysis.Length1,svm,0.42843137254901953,0.43137254901960786,0.024431246655641396,0.05702487777746963
MotifAnalysis.InsidePentamer,lr,0.6323529411764707,0.6372549019607843,0.0362214768664925,0.0572804750446858
MotifAnalysis.OutsidePentamer,lr,0.6313725490196079,0.6323529411764706,0.03620820649533214,0.05734840159198568
MotifAnalysis.InsideHexamer,lr,0.6303921568627452,0.6274509803921569,0.036168366168032796,0.05737439112191827
MotifAnalysis.CongruentHexamer,lr,0.6303921568627452,0.6274509803921569,0.036168366168032796,0.05737439112191827
MotifAnalysis.OutsideHexamer,lr,0.6303921568627452,0.6274509803921569,0.036168366168032796,0.05737439112191827
DyadAccessibility.AluJ,rf,0.4970588235294118,0.4950980392156863,0.02909965113658007,0.05854367684282381
MotifAnalysis.CongruentTetramer,lr,0.6372549019607844,0.642156862745098,0.037716439336610494,0.05918579711283492
MotifAnalysis.InsideTetramer,lr,0.6372549019607844,0.642156862745098,0.037716439336610494,0.05918579711283492
MotifAnalysis.DegenerateTetramer,rf,0.4431372549019609,0.4411764705882353,0.02623350619658756,0.059199505133892265
MotifAnalysis.OutsideDimer,svm,0.6990196078431373,0.7156862745098039,0.04160606896847636,0.05952060357341638
LengthAnalysis.Length5,lr,0.5107843137254902,0.5147058823529411,0.0305183968946537,0.059748109083583065
LengthAnalysis.Length15,svm,0.6519607843137256,0.6568627450980392,0.03952087131518896,0.06061847931051538
LociFraction.AluFraction,lr,0.6294117647058824,0.6323529411764706,0.03817239673319959,0.060647733127513356
LociFraction.LINEsFraction,lr,0.6235294117647058,0.6274509803921569,0.038021018489539836,0.060977105124733706
MotifAnalysis.OutsideTrimer,lr,0.6372549019607844,0.6470588235294118,0.03896981747912117,0.061152636659543985
LociFraction.cCREFraction,lr,0.6264705882352942,0.6274509803921569,0.03833571528630814,0.061193160550914394
MotifAnalysis.OutsideTetramer,rf,0.5098039215686275,0.5098039215686274,0.03131121455425747,0.061418151625658876
DyadAccessibility.AluJ,lr,0.4784313725490197,0.4852941176470588,0.029672050883179514,0.06201945061648176
MotifAnalysis.InsidePentamer,svm,0.6892156862745098,0.7009803921568627,0.04274554775802284,0.06202056715957795
MotifAnalysis.OutsidePentamer,svm,0.6882352941176471,0.696078431372549,0.04291386005537117,0.06235347187532563
DyadAccessibility.AluS,svm,0.5137254901960785,0.5049019607843137,0.03227858359442027,0.06283235737845166
DyadAccessibility.LINEs,svm,0.40980392156862744,0.4117647058823529,0.025864521486809643,0.0631143825754685
